Day,Minimum threshold,Area,% Growth,,,
0,69,381,0.238883455,,,
1,50,0,0,,,
2,80,407,0.255185213,,,
6,57,3570,2.238356783,,,
13,57,42124,26.41135606,,,
20,53,112947,70.81671808,,,
22,54,159492,100,,,
,,,,27,60,130299
,,,,29,53,184649
,,,,30,52,194543
,,,,31,50,215043
