Day,Minimum threshold,Area,% Growth,,,
0,74,358,0.289311632,,,
1,50,0,0,,,
2,84,63,0.050912382,,,
6,58,2548,2.059123014,,,
13,85,21743,17.57123693,,,
20,73,87207,70.47485898,,,
22,64,123742,100,,,
,,,,27,61,154508
,,,,29,63,229900
,,,,30,59,293543
,,,,31,58,357697
